Nodes,Groups,Reduction
16,7,7.14
8,3,14.28
8,3,-10.00
32,12,12.50
32,14,18.12
32,5,17.04
32,6,6.25
32,7,23.46
4,3,0
20,3,-15.62
4,2,0
12,3,13.15
4,3,0
4,2,0
4,2,0
84,5,26.52
128,6,18.89
8,2,0
4,2,0
284,7,5.45
8,2,0
4,2,0
4,2,0
8,2,0
24,2,12.50
4,3,0
24,2,12.06
205,7,13.71
24,8,24.48
32,2,0
4,2,0
128,12,17.62
16,7,7.14
64,7,15.00
64,16,12.25
256,7,22.07
64,10,22.75
4,2,0
256,19,22.32
10,2,25.00
4,2,0
4,2,0
4,2,0
84,5,22.46
128,20,16.33
4,2,0
24,7,45.45
24,12,6.34
8,2,0
8,2,0
32,2,-7.84
4,2,0
128,6,25.52
8,2,0
32,3,18.36
4,2,0
4,3,0
64,10,26.90
4,3,0
128,10,25.50
4,2,0
4,2,0
64,8,18.97
12,2,42.85
12,2,42.85
12,2,4.16
12,3,16.66
12,2,53.33
12,3,27.77
4,2,0
4,2,0
4,2,0
64,14,13.51
24,3,-18.75
4,2,0
16,2,0
4,2,0
32,2,0
4,3,16.66
48,5,-1.97
4,2,0
16,2,0
12,3,-15.38
12,3,-26.92
12,3,33.33
12,3,-26.92
4,4,0
4,2,0
48,5,35.09
16,2,0
48,5,18.54
200,7,24.78
32,3,-21.42
284,7,17.64
32,2,0
32,3,-7.27
16,2,0
32,3,13.33
8,2,0
32,5,19.27
32,5,3.03
32,6,11.68
32,7,9.61
32,5,14.65
32,6,20.22
4,2,0
24,11,22.22
4,2,0
32,2,0
8,2,-50.00
4,2,0
24,4,47.97
4,2,0
8,7,7.14
48,5,26.63
16,4,10.52
64,4,-3.67
64,4,19.00
64,5,23.75
64,6,12.23
64,15,14.39
64,20,18.11
64,4,2.53
64,4,-4.42
128,6,14.14
48,5,26.63
12,4,16.66
12,2,12.50
12,3,-15.38
4,2,0
10,3,0
12,3,40.00
6,3,20.00
4,2,0
24,4,25.71
27,2,0
27,2,0
27,2,-14.28
27,2,-14.28
27,3,3.92
27,3,7.50
27,2,0
27,2,0
27,4,12.90
27,8,6.55
64,3,7.42
32,5,7.24
27,3,-6.66
27,3,9.30
27,11,2.29
32,2,0
64,18,10.66
64,16,10.71
12,4,34.78
27,3,-3.33
27,8,8.69
8,3,14.28
24,2,5.17
4,2,0
27,2,0
27,2,0
27,2,-7.40
4,2,0
12,3,6.25
128,18,15.21
27,3,12.96
8,4,6.25
64,3,-3.63
27,6,4.76
27,2,-14.28
27,2,0
27,3,-15.78
27,4,10.25
27,4,0
27,11,7.01
27,7,12.93
8,5,9.09
256,7,13.13
55,6,4.95
512,7,19.76
16,4,10.00
32,2,0
27,2,0
27,11,-1.61
16,2,0
256,7,7.81
27,2,0
27,2,0
27,2,-5.40
27,4,-1.35
24,8,38.70
27,2,0
27,2,0
27,2,-5.40
27,4,12.16
27,5,5.00
27,10,9.52
20,5,1.72
8,2,-50.00
27,4,11.66
27,3,5.35
16,2,-9.52
4,2,0
4,3,0
4,2,0
8,2,-50.00
4,3,0
4,4,0
10,3,32.35
8,4,-8.33
12,3,50.00
9,2,0
4,2,0
64,10,18.18
4,2,0
16,6,-10.00
16,2,0
512,9,10.81
4,2,0
12,6,3.70
8,2,0
8,6,14.28
16,9,16.00
8,7,7.14
4,2,0
8,4,0
8,4,20.00
16,8,2.94
32,10,7.27
16,8,10.00
4,3,0
8,6,8.33
16,6,15.71
32,13,11.48
4,3,0
24,7,5.43
64,19,14.37
8,3,14.28
16,10,12.50
4,2,0
4,4,0
24,3,34.90
10,6,12.06
4,3,0
24,7,36.53
16,8,-3.33
16,10,12.24
16,9,-2.94
4,4,0
8,4,0
64,19,12.50
4,3,16.66
8,7,0
128,6,16.25
16,5,-4.76
24,8,17.64
66,15,16.39
66,17,17.76
24,8,16.00
4,4,0
8,2,0
4,4,0
66,15,8.02
16,5,5.55
16,5,12.50
16,2,0
16,2,0
16,2,-33.33
16,2,0
16,3,-25.00
16,2,0
16,2,0
16,2,-9.52
16,2,-9.52
16,2,0
16,2,0
16,2,0
66,18,13.25
66,15,16.48
66,19,22.56
4,3,0
4,3,0
66,6,12.56
66,20,11.07
4,3,0
66,15,18.89
4,4,0
66,8,7.30
66,10,18.75
66,15,14.54
66,18,18.22
