Nodes,Groups,Reduction
4,1,0
4,1,0
4,1,0
4,2,16.66
4,1,0
32,5,22.34
4,2,0
32,4,9.16
4,3,0
4,3,0
16,1,0
8,1,0
32,2,-4.00
32,3,-15.78
4,1,0
256,18,22.87
4,1,0
16,2,10.81
4,1,0
8,1,0
16,1,0
8,1,0
8,2,0
16,5,19.23
4,2,16.66
256,19,19.96
8,1,0
4,1,0
16,2,-8.33
16,1,0
4,1,0
4,1,0
16,5,11.42
4,1,0
4,1,0
4,1,0
4,1,0
256,6,22.31
4,2,16.66
4,2,0
4,2,16.66
4,1,0
16,1,0
4,1,0
16,3,21.42
4,1,0
16,1,0
32,10,17.53
32,9,16.90
32,13,8.72
32,10,17.79
32,13,8.69
4,1,0
4,1,0
4,1,0
4,3,0
8,6,8.33
128,3,22.63
128,3,19.66
8,1,0
4,1,0
16,8,5.40
8,1,0
16,1,0
4,1,0
32,14,4.92
8,1,0
16,2,-8.33
256,7,20.50
4,1,0
4,1,0
4,2,0
64,12,11.14
4,1,0
64,4,13.25
64,11,15.05
64,10,21.19
256,19,15.67
4,4,0
4,4,0
4,4,0
8,1,0
16,8,12.50
4,1,0
4,1,0
32,10,1.81
4,1,0
16,2,12.12
4,4,0
4,1,0
4,1,0
16,3,14.58
32,4,18.91
4,2,0
4,1,0
4,1,0
4,1,0
16,3,14.81
16,3,9.52
16,2,11.11
32,5,11.36
32,6,9.57
4,1,0
16,10,11.36
32,3,10.65
4,1,0
4,2,0
64,12,18.22
4,1,0
4,2,16.66
16,3,-2.56
8,1,0
32,7,11.57
32,4,15.00
32,2,13.15
4,1,0
4,1,0
256,18,8.86
4,3,0
4,4,0
4,1,0
4,2,0
128,6,29.37
256,19,21.97
4,2,16.66
4,1,0
4,1,0
4,3,0
4,2,0
8,4,0
4,2,0
4,1,0
4,1,0
4,2,16.66
4,2,16.66
16,9,13.04
4,1,0
4,1,0
4,1,0
4,1,0
4,2,0
8,2,-10.00
8,1,0
4,1,0
128,7,7.03
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,2,16.66
16,4,2.50
64,7,18.21
4,1,0
4,1,0
256,7,22.91
4,1,0
4,1,0
4,1,0
8,3,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,2,0
4,1,0
4,1,0
4,1,0
32,10,11.47
4,1,0
4,2,0
32,3,4.34
32,5,20.00
4,1,0
4,1,0
256,18,20.84
4,2,0
4,1,0
32,4,24.44
4,1,0
4,2,16.66
4,1,0
4,1,0
4,1,0
4,1,0
4,2,0
4,2,0
4,1,0
4,4,0
16,5,7.14
4,1,0
4,3,16.66
4,1,0
8,3,12.50
4,1,0
4,1,0
8,2,13.33
16,4,10.20
8,8,0
8,1,0
4,4,0
8,5,0
4,2,0
8,3,11.11
8,2,13.33
32,9,9.09
64,16,14.67
4,1,0
4,1,0
16,1,0
16,1,0
8,1,0
8,1,0
8,1,0
8,1,0
8,2,13.33
8,2,15.38
64,13,15.68
4,4,0
4,3,16.66
4,1,0
4,1,0
4,1,0
8,1,0
4,1,0
4,1,0
128,18,21.38
64,7,22.18
4,1,0
8,3,0
32,6,20.00
128,5,19.82
128,13,21.01
512,22,19.11
512,13,25.91
8,2,14.28
32,8,12.03
128,10,24.68
128,13,22.07
512,22,21.15
512,11,27.22
128,15,17.49
128,10,13.57
512,22,18.89
512,10,30.23
8,1,0
64,6,9.34
64,14,18.38
8,2,12.50
8,3,18.18
8,2,12.50
64,15,21.69
4,1,0
64,11,13.55
4,1,0
8,1,0
8,2,0
8,2,13.33
8,2,0
16,7,11.76
8,1,0
8,3,20.00
8,3,11.11
4,1,0
4,1,0
4,1,0
32,12,8.95
32,14,12.00
32,5,10.00
32,6,20.00
4,1,0
32,7,16.66
4,3,16.66
8,1,0
4,1,0
4,1,0
16,3,21.15
4,2,0
4,1,0
4,1,0
8,2,15.38
4,3,16.66
4,1,0
4,1,0
4,1,0
4,1,0
4,2,16.66
4,1,0
4,2,0
16,1,0
4,1,0
4,1,0
64,5,13.04
128,6,26.05
4,1,0
16,1,0
4,1,0
16,1,0
16,1,0
4,1,0
16,1,0
16,1,0
16,1,0
4,1,0
8,2,15.38
16,1,0
4,1,0
16,1,0
4,1,0
4,1,0
4,2,0
4,1,0
16,1,0
16,1,0
16,1,0
4,1,0
8,1,0
256,5,1.84
4,1,0
8,2,15.38
16,1,0
4,2,0
16,1,0
4,2,0
4,1,0
16,1,0
8,1,0
8,2,15.38
4,1,0
16,1,0
4,1,0
16,1,0
16,1,0
16,1,0
4,1,0
16,1,0
4,1,0
4,1,0
16,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
16,1,0
4,1,0
16,1,0
4,3,16.66
4,1,0
16,1,0
4,1,0
16,1,0
4,1,0
16,1,0
8,1,0
4,1,0
8,1,0
16,1,0
8,1,0
8,1,0
4,1,0
16,1,0
128,5,17.19
4,1,0
4,1,0
16,5,8.06
4,1,0
32,2,-1.51
4,1,0
4,2,16.66
128,12,15.18
16,7,16.66
8,1,0
64,7,15.94
4,1,0
64,16,18.29
4,1,0
4,1,0
8,1,0
4,1,0
256,7,21.46
64,10,18.90
4,1,0
4,1,0
4,1,0
4,2,0
4,1,0
256,19,23.62
8,1,0
4,2,16.66
4,1,0
4,2,16.66
4,1,0
4,2,0
4,1,0
4,1,0
64,5,16.06
128,20,12.32
4,1,0
4,1,0
4,1,0
4,2,16.66
4,1,0
4,1,0
16,5,22.61
4,1,0
4,1,0
4,1,0
4,1,0
16,8,10.00
8,2,13.33
8,2,13.33
8,1,0
32,2,13.15
4,2,0
128,6,26.87
8,2,15.38
64,1,0
32,3,21.87
4,2,0
4,3,16.66
8,1,0
64,10,15.27
4,3,0
128,10,18.72
4,2,16.66
4,2,0
64,8,19.33
8,1,0
8,1,0
8,2,12.50
8,2,12.50
8,2,15.38
8,1,0
8,3,13.33
8,2,13.33
8,3,11.11
4,1,0
4,2,0
4,2,0
4,2,0
64,14,19.28
16,3,8.33
16,1,0
8,1,0
4,2,16.66
16,2,5.71
4,2,0
32,2,0
4,3,0
16,1,0
32,4,6.89
4,2,0
16,2,5.71
8,2,-10.00
8,3,0
8,2,12.50
8,2,0
8,1,0
4,1,0
8,1,0
8,1,0
4,4,0
4,2,16.66
32,3,20.28
16,2,5.71
4,1,0
32,2,6.94
32,1,0
128,5,17.05
32,3,17.91
4,1,0
256,6,25.38
32,2,0
32,3,8.88
16,2,5.71
32,3,11.60
8,2,13.33
32,5,26.96
32,5,21.95
32,6,12.63
32,7,18.34
32,5,19.19
32,6,10.36
16,1,0
4,1,0
4,2,16.66
16,8,15.90
4,1,0
4,2,0
4,1,0
32,2,5.19
8,2,12.50
4,2,0
16,3,16.66
4,2,0
4,1,0
16,1,0
4,1,0
8,7,0
8,1,0
8,1,0
4,1,0
8,1,0
4,1,0
4,1,0
8,1,0
8,1,0
8,1,0
32,4,14.58
16,4,9.61
4,1,0
8,1,0
4,1,0
4,1,0
64,4,-22.85
64,4,5.55
64,5,20.56
64,6,12.88
64,15,17.11
64,20,20.43
64,4,-7.52
16,1,0
64,4,8.02
4,1,0
8,1,0
4,1,0
8,1,0
16,1,0
16,1,0
4,1,0
4,1,0
16,1,0
128,6,21.62
8,1,0
8,1,0
16,1,0
32,4,14.58
4,1,0
4,1,0
4,1,0
4,1,0
8,1,0
8,3,13.33
8,1,0
8,2,-10.00
4,1,0
4,2,0
8,2,-10.00
4,1,0
8,1,0
8,2,13.33
4,2,0
4,2,0
8,1,0
16,3,19.23
16,1,0
16,2,5.71
16,1,0
16,2,8.33
16,2,8.33
16,1,0
16,2,0
16,2,0
16,2,11.11
16,3,24.44
16,6,5.55
4,1,0
8,1,0
64,3,17.39
32,5,13.51
4,1,0
4,1,0
4,1,0
4,1,0
4,1,0
8,1,0
4,1,0
16,1,0
16,1,0
16,6,20.83
8,1,0
8,1,0
4,1,0
16,1,0
32,2,12.19
64,18,19.07
64,16,12.84
8,4,9.09
4,1,0
4,1,0
4,1,0
16,2,-27.27
16,7,19.44
4,1,0
8,3,20.00
16,1,0
16,1,0
8,1,0
16,2,15.15
4,2,16.66
16,1,0
16,1,0
16,1,0
16,2,12.50
16,1,0
16,2,13.79
4,2,0
8,3,12.50
128,18,15.50
16,2,11.11
8,4,11.11
64,3,8.58
8,1,0
4,1,0
16,1,0
16,3,19.23
16,2,8.33
16,2,15.15
16,3,12.12
16,3,16.66
16,3,-8.33
16,7,6.06
16,5,17.64
8,5,0
256,7,16.90
32,5,15.47
16,1,0
8,1,0
4,1,0
4,1,0
512,7,25.26
16,4,16.12
16,1,0
16,1,0
8,1,0
4,1,0
32,2,11.49
16,2,12.12
16,7,5.55
4,1,0
4,1,0
16,2,13.15
256,7,10.28
4,1,0
16,1,0
16,1,0
16,1,0
16,3,13.72
16,6,18.18
16,2,0
16,2,11.11
16,2,13.33
16,3,16.66
16,4,18.96
16,5,16.12
16,4,20.00
8,1,0
8,2,12.50
4,1,0
16,3,21.73
16,2,15.15
8,1,0
16,2,-27.27
4,1,0
16,1,0
4,1,0
4,1,0
8,1,0
4,1,0
4,1,0
8,1,0
32,1,0
4,2,16.66
4,3,16.66
4,2,16.66
4,1,0
4,1,0
4,1,0
8,1,0
8,2,12.50
4,1,0
4,1,0
4,3,0
4,4,0
8,2,12.50
8,4,9.09
8,3,18.18
8,1,0
16,1,0
4,2,0
4,1,0
64,10,20.93
4,2,0
4,1,0
8,1,0
8,1,0
4,1,0
4,1,0
4,1,0
4,1,0
8,1,0
16,6,20.83
8,1,0
16,2,12.50
4,1,0
4,1,0
512,9,22.63
4,1,0
16,1,0
4,1,0
4,2,0
4,1,0
4,1,0
4,1,0
8,2,15.38
8,2,0
4,1,0
4,1,0
8,6,0
16,9,5.26
8,7,0
4,2,16.66
8,4,21.42
4,1,0
4,1,0
8,4,0
4,1,0
8,1,0
16,8,17.39
32,10,4.46
16,8,9.52
4,3,16.66
8,6,8.33
16,6,3.57
32,13,8.57
4,1,0
4,1,0
4,3,0
16,5,7.14
4,1,0
64,19,13.01
4,1,0
4,1,0
4,1,0
8,3,20.00
4,1,0
16,10,4.54
4,2,0
4,4,0
16,3,22.00
8,5,16.66
4,3,16.66
16,5,17.14
16,8,12.50
32,1,0
4,1,0
4,1,0
16,10,0
16,9,12.00
4,4,0
4,1,0
8,4,21.42
8,1,0
64,19,16.00
4,1,0
4,1,0
4,3,0
8,7,7.14
128,6,10.86
4,1,0
8,1,0
4,1,0
16,5,20.51
16,7,5.55
4,1,0
64,15,16.94
4,1,0
64,17,8.33
16,5,13.33
4,4,0
4,1,0
8,2,14.28
4,1,0
4,1,0
4,1,0
8,1,0
