Nodes,Groups,Reduction
4,2,0
20,4,-9.52
4,2,0
6,2,22.22
4,3,0
4,3,0
4,3,16.66
6,2,-28.57
20,2,-1.85
4,3,0
4,2,0
16,4,2.56
16,8,5.40
16,3,-27.27
16,2,-9.52
16,2,0
24,3,43.13
10,4,26.00
10,2,12.50
16,5,25.00
12,2,4.16
5,2,0
32,5,13.70
4,2,0
16,2,0
16,3,-19.23
128,14,14.38
128,14,22.26
128,13,22.36
16,2,-33.33
201,3,4.58
201,3,-.84
201,3,1.74
201,3,-1.94
10,4,7.50
8,2,-50.00
8,2,0
9,2,0
8,2,0
16,2,0
5,3,0
9,3,9.52
16,2,0
4,2,0
6,2,-28.57
8,3,14.28
12,2,4.16
4,2,0
63,7,12.65
128,3,15.44
112,3,41.91
16,5,14.00
7,3,9.09
7,2,0
12,3,47.61
16,3,18.75
8,2,0
6,3,15.38
16,2,0
8,3,-12.50
32,3,23.86
8,3,25.00
8,3,0
8,2,0
4,3,0
8,3,14.28
8,3,14.28
5,2,0
4,4,0
5,2,0
8,3,0
8,2,0
8,3,-12.50
16,3,18.42
8,3,-12.50
8,2,-50.00
6,4,25.00
8,2,-50.00
8,2,0
8,3,0
8,2,0
9,3,10.52
4,3,0
4,2,0
8,3,12.50
8,2,0
8,3,14.28
8,2,0
64,3,9.22
10,2,-14.28
32,6,21.69
4,2,0
8,2,0
128,13,13.15
4,2,0
8,2,0
8,3,0
4,2,0
20,2,5.55
20,2,-1.85
20,2,12.06
10,3,15.78
16,2,-9.52
8,2,0
6,2,33.33
20,3,-3.84
20,2,5.17
20,3,33.65
32,10,20.45
128,7,2.51
8,2,0
8,2,0
9,3,-7.69
8,2,0
8,3,25.00
8,2,0
8,3,13.33
8,3,12.50
63,11,6.89
63,10,8.86
9,2,0
8,2,0
5,3,0
5,3,0
6,2,22.22
12,3,3.33
16,3,21.42
4,2,0
8,3,-10.00
8,3,14.28
4,2,0
4,2,0
4,4,0
6,2,57.14
4,2,0
12,2,25.00
4,2,0
8,3,-12.50
4,4,0
8,2,-50.00
8,3,25.00
4,2,0
8,2,0
16,8,4.41
8,2,0
8,3,13.33
24,3,-26.66
8,2,0
8,2,0
8,3,25.00
4,2,0
8,3,15.38
16,2,-33.33
16,3,15.15
4,3,16.66
8,2,-50.00
8,2,0
8,3,-12.50
8,4,0
20,2,0
80,8,10.46
80,11,9.71
96,7,34.66
80,5,-17.39
96,7,16.15
80,8,-3.41
80,8,17.01
112,12,8.00
96,7,18.65
80,6,23.98
224,8,44.77
96,7,22.72
17,5,16.66
112,8,19.19
96,6,-24.57
96,6,12.80
4,2,0
32,5,10.93
32,7,1.25
8,5,21.42
32,7,19.44
32,9,12.50
32,3,18.36
32,9,14.15
8,3,12.50
38,4,34.29
8,5,0
8,3,-10.00
8,4,0
8,4,0
8,2,0
5,2,0
38,10,11.34
4,4,0
16,7,14.70
8,5,10.00
4,2,0
4,2,0
4,2,0
4,4,0
4,3,16.66
4,2,0
16,4,0
4,2,0
4,2,0
8,3,0
4,3,16.66
4,3,16.66
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,3,0
4,2,0
4,2,0
4,2,0
4,3,16.66
4,4,0
4,4,0
4,3,0
4,3,0
4,3,16.66
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,2,0
4,3,0
4,3,16.66
4,2,0
8,2,0
72,3,19.39
8,2,0
8,3,15.38
8,4,18.18
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,2,0
8,3,14.28
8,2,0
8,2,0
8,2,0
12,5,-36.84
12,3,5.26
12,2,47.05
12,2,-64.28
12,2,22.22
12,2,-16.66
8,2,0
4,4,0
8,3,14.28
8,2,0
8,4,18.75
8,2,0
8,3,25.00
4,2,0
8,4,11.76
63,11,10.00
8,2,0
8,2,0
4,2,0
4,2,0
4,2,0
32,3,7.31
35,13,7.23
5,4,0
5,2,0
5,3,13.33
8,6,0
64,8,14.81
64,5,17.56
64,4,4.08
64,8,22.67
64,10,22.05
64,10,18.75
20,2,40.00
20,2,40.00
6,2,33.33
12,3,-30.76
6,3,-18.18
128,3,3.65
6,3,28.57
63,5,16.00
16,4,0
16,2,0
4,2,0
5,2,0
12,2,4.16
16,2,-33.33
16,3,15.15
6,2,57.14
8,2,0
4,2,0
8,2,0
8,2,0
16,3,11.76
16,3,18.91
16,2,-33.33
16,3,11.76
64,3,11.70
16,3,20.00
6,2,57.14
16,3,7.14
4,2,0
4,2,0
4,2,0
8,2,0
8,2,0
4,3,0
128,10,21.81
8,2,0
4,3,0
8,2,0
8,2,0
16,2,-9.52
8,2,0
40,3,32.33
112,3,3.67
201,3,-14.77
201,3,6.92
201,3,9.82
201,3,-7.04
201,3,-8.19
201,3,-20.60
32,3,-28.84
16,2,-9.52
16,3,15.15
16,5,17.24
16,3,7.69
16,2,0
16,2,0
16,3,-27.27
16,3,12.12
16,3,18.75
16,3,18.18
16,2,0
4,2,0
8,5,0
26,3,-5.12
8,2,0
20,6,-16.66
4,2,0
20,5,7.35
16,2,0
8,3,14.28
20,4,6.89
72,3,-11.38
9,2,0
9,3,0
8,2,0
4,3,0
4,2,0
8,3,-10.00
8,2,0
128,17,21.24
16,3,0
5,2,0
5,3,0
98,11,33.31
7,2,0
4,3,0
4,3,0
8,5,9.09
8,2,-50.00
5,2,0
4,3,0
8,2,-50.00
16,3,21.87
4,2,0
24,6,22.72
4,2,0
16,2,0
16,2,0
8,2,0
16,3,11.11
16,3,5.71
16,6,9.67
4,3,16.66
8,2,0
8,2,0
4,2,0
16,2,0
4,3,0
16,2,-33.33
16,3,13.79
35,4,16.29
8,2,0
8,2,0
4,4,0
4,3,16.66
4,2,0
4,2,0
8,4,18.18
16,3,13.79
8,3,0
16,7,16.21
16,9,9.09
8,2,0
16,2,0
16,2,0
8,2,0
35,11,17.14
20,3,18.18
20,2,1.85
20,6,8.10
20,4,20.00
32,3,8.64
192,7,23.67
16,2,-9.52
8,4,12.50
8,2,0
16,4,0
8,3,13.33
8,2,0
8,2,0
4,3,0
192,7,10.55
16,2,-9.52
32,3,8.21
4,2,0
4,3,0
72,3,30.27
8,2,0
8,2,0
8,2,0
20,3,35.41
5,2,0
16,5,2.17
16,3,13.79
16,5,9.09
16,3,8.82
16,2,0
5,2,0
8,2,0
10,3,47.61
4,2,0
8,2,0
8,2,0
8,2,0
16,3,11.11
8,5,0
12,3,11.76
8,3,-10.00
8,3,0
32,4,-4.25
8,3,15.38
8,2,0
8,3,15.38
8,2,0
8,2,0
16,2,0
16,3,11.11
120,11,10.25
200,16,24.62
5,4,0
8,3,-10.00
4,2,0
4,3,16.66
9,2,0
63,12,1.89
22,4,5.83
35,7,.64
16,2,0
35,4,0
16,2,0
9,3,-6.66
9,2,0
32,3,4.87
35,7,-6.81
40,5,22.58
4,3,0
6,3,-22.22
8,2,0
4,3,16.66
20,3,17.00
20,3,34.09
8,2,-50.00
8,3,12.50
4,3,0
8,3,14.28
4,3,16.66
9,2,-28.57
9,2,-28.57
4,4,0
10,2,25.00
4,2,0
4,2,0
32,3,13.46
16,6,-4.16
4,3,0
48,14,35.04
16,3,11.76
4,3,0
4,2,0
16,2,0
8,3,14.28
16,2,0
16,2,-9.52
16,4,0
128,3,3.65
26,12,33.66
7,3,0
8,2,0
12,3,-26.92
5,2,0
63,5,14.78
63,5,10.63
8,2,0
8,3,15.38
16,3,9.09
8,3,14.28
5,2,0
8,3,0
32,8,17.77
8,2,0
16,4,23.40
5,2,0
20,3,30.95
5,2,0
32,6,21.71
32,3,15.95
63,13,10.41
16,3,20.00
32,10,2.97
32,9,3.26
32,6,12.19
32,13,15.18
32,14,7.53
32,9,14.01
32,11,15.97
32,3,20.40
32,5,12.67
32,5,4.83
32,4,19.13
32,3,3.40
32,7,17.03
32,4,16.94
32,6,13.75
32,5,16.92
32,5,5.73
32,4,15.17
32,5,14.70
32,4,21.87
32,3,0
32,3,17.02
32,8,9.13
32,4,28.44
32,4,6.09
32,7,2.50
32,3,11.00
32,4,-2.24
32,6,10.52
32,9,7.54
32,9,11.22
32,3,13.95
32,10,11.00
32,7,22.82
32,7,2.14
32,8,13.00
32,6,17.07
32,13,12.33
32,5,19.11
32,6,8.10
32,8,12.62
32,2,-9.52
32,9,20.76
81,7,16.40
81,11,15.78
81,13,15.59
81,9,-15.93
81,12,10.65
8,3,13.33
4,2,0
16,3,11.76
16,3,-3.33
16,2,0
20,3,23.80
4,2,0
8,2,0
128,16,11.23
8,2,0
4,4,0
128,14,17.40
8,2,0
4,4,0
8,5,16.66
4,2,0
4,2,0
16,5,4.34
5,2,0
5,2,0
16,3,18.18
8,3,0
8,2,0
26,3,-5.00
16,2,-9.52
48,9,4.45
4,3,0
8,3,14.28
4,3,16.66
4,2,0
24,3,-5.12
4,2,0
4,2,0
16,2,-9.52
4,3,16.66
4,2,0
4,2,0
4,2,0
4,4,0
32,5,17.36
64,3,12.91
256,5,21.51
9,2,0
9,2,0
20,3,-5.12
8,2,0
16,2,0
8,2,0
72,3,11.44
72,3,19.72
8,3,14.28
8,3,15.38
8,2,0
8,2,-50.00
4,4,0
5,2,0
5,2,0
16,3,5.71
16,3,-3.33
4,3,16.66
128,12,22.42
72,3,-.72
8,2,0
8,4,0
8,4,11.11
4,2,0
8,2,0
4,2,0
65,12,22.95
8,2,0
81,15,9.23
81,16,18.18
81,14,15.33
81,11,15.02
81,13,15.76
81,15,13.58
81,14,14.15
81,12,16.31
81,11,13.85
12,3,-26.92
4,2,0
16,3,13.15
16,3,11.76
16,7,4.54
16,3,-56.25
16,3,-3.33
32,3,4.87
8,3,12.50
6,3,20.00
16,3,13.15
4,3,16.66
4,3,16.66
16,2,-125.00
16,2,0
8,2,0
4,3,16.66
10,2,53.33
256,8,20.04
16,2,0
16,6,12.12
192,7,18.58
16,3,15.15
8,3,12.50
8,2,0
10,3,15.78
8,4,20.00
4,3,16.66
16,7,18.42
16,3,18.91
16,2,0
8,2,0
4,4,0
16,2,0
4,4,0
4,2,0
8,2,0
4,2,0
16,6,22.50
16,2,0
4,2,0
4,2,0
4,2,0
8,2,0
16,3,0
4,2,0
8,3,-10.00
4,2,0
4,2,0
16,3,21.87
4,2,0
6,2,-28.57
16,2,0
8,2,0
16,2,0
12,2,-16.66
16,2,-9.52
12,3,-2.94
32,3,20.61
12,3,-11.53
9,2,0
4,2,0
8,2,0
16,2,0
16,3,7.69
4,4,0
16,3,13.33
128,11,20.24
81,9,14.24
81,8,12.66
81,9,16.56
81,8,25.69
4,3,16.66
4,2,0
4,2,0
26,3,13.00
16,3,18.42
8,2,0
4,2,0
8,2,-50.00
5,2,0
128,14,24.51
9,2,0
9,2,0
8,2,0
4,3,0
50,13,1.83
50,10,43.21
50,10,25.62
50,7,-24.68
50,13,9.21
4,3,0
35,10,14.70
16,6,18.05
72,3,1.19
16,3,-27.27
